employee_id,age,gender,education,department,job_role,monthly_salary,years_at_company,years_in_current_role,performance_score,job_satisfaction,work_life_balance,overtime,distance_from_home_km,num_projects_last_year,training_hours_last_year,num_promotions,last_promotion_years_ago,stock_option_level,relationship_satisfaction,environment_satisfaction,attrition
EMP00072,35,Male,Master,Legal,Role_22,107438,5,5,3.4,4.1,3,No,11,4,32,1,0,0,4,4,No
EMP00073,38,Female,Master,Finance,Role_4,97947,7,0,2.8,3.9,2,Yes,1,5,68,1,0,1,4,3,No
EMP00074,32,Female,Master,HR,Role_10,75593,9,6,3.1,3.5,1,No,15,5,46,1,1,1,1,3,No
EMP00075,49,Female,High School,R&D,Role_19,95377,3,0,2.9,2.6,2,No,1,3,46,0,3,2,4,3,No
EMP00076,26,Other,Bachelor,R&D,Role_3,71588,2,0,3.2,3.9,3,Yes,11,7,57,0,2,0,3,2,No
EMP00077,48,Male,Master,Finance,Role_44,109528,2,0,3.4,3.4,3,Yes,24,2,46,0,0,0,2,2,Yes
EMP00078,35,Female,Bachelor,Operations,Role_11,67919,9,9,3.7,2.5,4,Yes,10,4,30,2,1,0,4,4,No
EMP00079,45,Female,Bachelor,Legal,Role_10,84691,1,0,2.7,2.5,2,No,8,6,72,0,1,1,3,1,Yes
EMP00080,51,Female,Bachelor,Legal,Role_28,102867,3,0,3.4,4.0,3,No,15,1,32,1,1,0,3,2,No
EMP00081,50,Female,Bachelor,R&D,Role_7,111582,2,2,3.1,3.3,3,No,9,5,11,0,2,0,3,3,No
EMP00082,37,Male,Master,Legal,Role_25,85488,2,0,3.3,2.5,4,No,8,7,44,0,2,0,3,4,Yes
EMP00083,25,Male,PhD,Operations,Role_41,90786,1,1,3.1,4.5,3,No,7,5,37,0,1,1,3,4,No
EMP00084,42,Male,Bachelor,Engineering,Role_35,86568,5,4,3.6,4.4,2,Yes,20,5,17,1,4,0,4,1,No
EMP00085,40,Female,Master,Marketing,Role_23,91295,0,0,3.8,1.5,4,No,5,3,0,0,0,1,3,3,No
EMP00086,59,Female,Bachelor,Legal,Role_41,108116,3,1,3.6,2.9,1,No,4,4,33,0,3,1,3,4,No
EMP00087,32,Female,Bachelor,Operations,Role_26,74149,3,0,2.5,2.3,2,No,12,6,44,0,3,1,4,3,No
EMP00088,29,Male,Bachelor,HR,Role_26,61142,5,5,3.6,3.2,3,No,11,1,51,0,1,1,3,3,No
EMP00089,22,Female,Bachelor,Engineering,Role_41,77081,0,0,2.6,4.2,3,No,4,4,28,0,0,3,2,3,No
EMP00090,43,Male,Master,Finance,Role_28,108770,1,1,3.6,2.8,3,Yes,10,3,42,0,0,2,3,3,No
EMP00091,46,Male,Bachelor,Operations,Role_35,81392,12,1,3.7,4.1,3,Yes,24,2,45,0,1,3,4,2,Yes
EMP00092,51,Female,High School,Finance,Role_33,89104,2,2,3.1,1.9,3,No,6,7,58,0,2,0,4,4,No
EMP00093,40,Male,Bachelor,Marketing,Role_3,73384,0,0,2.2,1.5,3,No,5,4,23,0,0,0,2,1,No
EMP00094,35,Other,Bachelor,Finance,Role_22,91661,2,2,4.1,2.8,3,No,8,2,0,0,1,1,4,4,Yes
EMP00095,22,Female,Bachelor,Marketing,Role_18,55950,0,0,3.0,1.9,4,No,2,4,54,0,0,0,1,3,No
EMP00096,22,Female,PhD,Finance,Role_26,102561,0,0,3.7,2.6,3,No,1,2,39,0,0,0,2,4,No
EMP00097,40,Male,Bachelor,Sales,Role_8,86207,11,0,2.3,1.0,3,No,17,3,5,2,1,3,1,3,No
EMP00098,49,Male,Master,Sales,Role_36,105910,5,5,4.0,2.6,3,No,16,3,60,1,2,2,3,4,Yes
EMP00099,41,Female,High School,Engineering,Role_2,86273,1,0,3.7,3.7,3,No,12,1,2,0,0,0,3,2,No
EMP00100,30,Female,Master,Operations,Role_31,69327,1,1,3.0,3.2,4,No,3,1,33,0,1,1,1,3,No
EMP00101,46,Female,Master,Legal,Role_18,97194,4,0,3.0,2.5,2,No,18,3,71,1,3,0,2,4,Yes
EMP00102,31,Female,Bachelor,Marketing,Role_25,70865,9,3,3.3,4.0,4,No,5,3,43,0,0,2,3,4,No
EMP00103,27,Male,High School,Marketing,Role_37,55708,5,5,3.8,3.1,3,No,7,3,20,1,2,1,4,2,No
EMP00104,47,Female,Bachelor,Legal,Role_13,102591,0,0,4.1,3.3,3,No,1,4,33,0,0,0,3,3,No
EMP00105,45,Male,Bachelor,Legal,Role_41,95014,10,0,2.3,3.1,4,No,4,3,30,0,0,0,4,3,No
EMP00106,25,Female,High School,Marketing,Role_29,54406,3,0,2.5,3.4,3,No,10,2,55,1,1,0,4,4,No
EMP00107,43,Female,High School,Engineering,Role_31,75599,6,3,3.3,4.0,4,No,4,7,45,0,0,0,3,3,No
EMP00108,22,Male,Bachelor,Finance,Role_4,80619,0,0,3.4,1.8,3,No,20,6,43,0,0,1,1,3,No
EMP00109,42,Male,Master,Finance,Role_8,115494,7,4,3.6,2.2,3,No,33,8,25,0,0,1,4,1,No
EMP00110,65,Male,Bachelor,Marketing,Role_10,94906,7,5,2.7,1.1,4,Yes,9,3,60,1,6,0,3,2,No
EMP00111,54,Male,Bachelor,Finance,Role_19,102028,7,2,3.2,2.2,4,No,23,4,13,0,2,0,2,4,No
EMP00112,28,Female,Master,R&D,Role_6,89980,5,0,3.5,3.9,2,No,8,2,63,1,0,0,2,1,No
EMP00113,44,Male,Master,Finance,Role_42,114583,4,3,3.0,2.4,2,No,77,4,21,0,3,1,4,1,No
EMP00114,44,Male,Bachelor,Engineering,Role_39,88524,4,4,2.6,3.9,2,No,6,2,59,0,0,0,2,2,No
EMP00115,28,Male,High School,Engineering,Role_33,71927,4,4,3.5,3.1,3,Yes,16,2,53,1,2,2,3,4,No
EMP00116,38,Female,Master,Operations,Role_16,74208,16,12,3.4,3.6,4,No,10,3,33,1,0,0,1,3,No
EMP00117,34,Male,PhD,Finance,Role_29,118877,2,1,3.0,2.8,3,No,1,6,5,0,1,3,2,3,No
EMP00118,38,Female,Bachelor,HR,Role_27,66628,2,1,3.5,1.7,2,No,4,4,26,0,0,1,3,4,Yes
EMP00119,48,Female,Bachelor,Legal,Role_28,94798,1,1,2.3,3.8,4,No,2,5,9,0,1,3,2,4,No
EMP00120,52,Female,Bachelor,Operations,Role_41,73087,0,0,3.6,2.2,3,No,6,3,37,0,0,2,4,1,No
EMP00121,30,Male,Bachelor,Legal,Role_38,84487,2,2,3.0,1.8,3,No,5,4,32,0,0,3,3,3,No
EMP00122,30,Female,Master,Engineering,Role_13,86583,7,1,2.9,4.2,3,No,7,4,35,1,1,3,2,4,No
EMP00123,55,Male,Bachelor,Operations,Role_42,75456,3,2,2.9,3.9,4,No,17,1,59,0,0,2,4,3,No
EMP00124,26,Male,Bachelor,R&D,Role_23,71493,1,0,2.6,2.6,3,No,22,3,60,0,0,0,1,4,No
EMP00125,39,Male,Bachelor,Engineering,Role_19,89997,2,1,4.2,3.8,2,No,9,2,46,0,2,2,3,3,No
EMP00126,30,Male,Bachelor,Finance,Role_49,87203,4,4,3.7,2.2,3,Yes,5,3,41,1,1,2,2,4,No
EMP00127,41,Female,Master,Legal,Role_48,109125,8,0,3.9,3.2,3,No,7,4,64,0,1,0,4,4,No
EMP00128,41,Female,Bachelor,Finance,Role_49,97155,2,1,3.4,2.2,3,No,1,5,26,0,0,0,3,3,No
EMP00129,50,Female,Bachelor,Legal,Role_16,94115,0,0,4.7,4.2,3,Yes,3,9,70,0,0,0,3,4,No
EMP00130,24,Female,High School,Sales,Role_10,47584,2,2,3.2,3.6,3,No,8,6,38,0,0,1,3,3,No
EMP00131,41,Male,High School,Sales,Role_31,74244,2,0,2.4,3.2,3,No,11,9,11,0,0,0,4,3,Yes
EMP00132,48,Female,Bachelor,Operations,Role_2,68240,12,3,2.9,2.0,2,No,1,4,62,1,1,3,4,3,No
EMP00133,23,Other,PhD,HR,Role_10,79470,1,1,3.7,3.8,3,No,18,5,38,0,0,0,3,3,No
EMP00134,36,Male,Bachelor,HR,Role_30,75911,3,3,2.7,1.0,2,No,4,4,34,1,2,1,3,4,Yes
EMP00135,27,Female,Master,Legal,Role_19,94080,5,2,4.3,3.5,3,No,1,3,41,1,0,1,1,4,No
EMP00136,36,Female,Bachelor,Finance,Role_32,90792,14,11,3.2,1.6,4,No,4,2,30,0,4,2,1,4,No
EMP00137,33,Male,Master,Marketing,Role_42,85383,8,0,3.5,3.5,3,Yes,10,2,18,0,0,0,3,4,No
EMP00138,27,Female,High School,R&D,Role_40,70254,5,0,3.5,2.9,2,No,14,6,56,1,1,1,3,3,No
EMP00139,40,Female,Bachelor,Legal,Role_12,78824,0,0,2.5,3.0,4,No,6,6,44,0,0,0,2,4,No
EMP00140,29,Female,High School,R&D,Role_16,67728,0,0,2.7,1.8,3,No,3,7,27,0,0,0,4,3,Yes
EMP00141,49,Male,High School,Engineering,Role_15,89463,4,1,3.6,3.1,3,Yes,1,4,57,1,4,1,3,2,No
EMP00142,38,Female,Master,Engineering,Role_19,100342,5,3,3.2,4.0,3,Yes,1,5,42,1,0,1,3,3,No
EMP00143,44,Female,Bachelor,Finance,Role_12,78415,6,0,3.3,4.0,4,No,5,2,69,1,0,0,2,3,No
EMP00144,38,Male,Bachelor,Operations,Role_48,62324,11,3,2.0,1.8,2,Yes,2,7,57,0,0,0,3,3,No
EMP00145,40,Female,Bachelor,R&D,Role_21,104133,0,0,4.2,4.0,3,No,5,1,67,0,0,0,1,4,Yes
EMP00146,36,Female,Bachelor,R&D,Role_39,84105,0,0,3.3,1.8,4,No,13,7,48,0,0,0,3,3,No
EMP00147,43,Male,Bachelor,R&D,Role_45,100115,11,5,2.9,3.0,4,No,2,2,42,0,0,2,4,3,No
EMP00148,22,Female,PhD,Operations,Role_47,87462,0,0,3.4,5.0,4,No,3,6,11,0,0,1,3,4,No
EMP00149,42,Male,Bachelor,Marketing,Role_26,89670,2,0,3.9,3.4,3,Yes,3,2,72,0,1,2,4,2,No
EMP00150,40,Male,Master,Marketing,Role_32,78677,1,0,3.8,2.0,4,No,1,4,0,0,1,1,4,4,No
EMP00151,27,Male,Bachelor,Marketing,Role_47,63090,5,2,4.0,4.5,3,No,1,5,30,1,1,1,4,4,No
EMP00152,27,Male,Master,Engineering,Role_49,102230,4,0,4.2,2.7,1,No,37,4,27,1,0,1,3,3,Yes
EMP00153,62,Male,Master,R&D,Role_12,123911,3,1,4.2,3.0,4,No,3,3,27,0,0,1,4,4,No
EMP00154,36,Male,Master,HR,Role_23,70156,4,4,4.4,3.8,2,Yes,4,3,54,0,4,0,3,3,Yes
EMP00155,46,Other,Master,HR,Role_30,90139,8,1,3.8,2.1,3,No,12,3,33,2,8,2,3,3,No
EMP00156,53,Female,Bachelor,Legal,Role_2,87740,13,2,4.1,4.0,3,No,1,4,50,1,0,0,4,2,No
EMP00157,27,Male,High School,Sales,Role_2,59337,1,1,3.0,4.5,2,Yes,2,3,53,0,0,1,4,4,No
EMP00158,53,Male,Master,HR,Role_12,82126,1,0,3.4,3.3,2,No,9,3,41,0,0,2,3,3,No
EMP00159,46,Female,High School,Finance,Role_34,83296,5,1,2.8,2.9,3,No,11,3,40,1,0,2,1,3,No
EMP00160,26,Male,High School,Legal,Role_11,63811,4,4,3.3,3.7,2,No,5,3,95,1,0,2,3,3,No
EMP00161,22,Male,Bachelor,HR,Role_45,59113,0,0,3.2,3.4,2,No,12,7,21,0,0,3,2,3,No
EMP00162,49,Female,High School,Marketing,Role_47,79213,18,1,4.7,2.3,1,Yes,27,5,39,1,0,2,3,3,No
EMP00163,34,Male,Master,Operations,Role_35,75836,12,3,3.6,3.8,3,No,5,6,43,2,1,0,4,3,No
EMP00164,53,Male,Bachelor,HR,Role_44,77148,3,1,2.8,4.6,2,Yes,2,2,28,0,2,0,1,3,No
EMP00165,47,Female,Bachelor,Finance,Role_30,87811,1,0,3.4,5.0,3,Yes,2,6,46,0,1,2,2,4,No
EMP00166,42,Female,Bachelor,Finance,Role_15,76783,11,2,2.3,3.6,3,No,21,1,30,0,0,0,2,3,No
EMP00167,41,Female,Master,R&D,Role_45,118109,8,5,3.7,1.5,4,No,18,7,61,2,3,1,3,3,No
EMP00168,29,Female,Bachelor,HR,Role_48,59488,3,0,3.8,1.0,4,Yes,8,1,33,0,0,3,4,4,No
EMP00169,38,Female,Bachelor,Sales,Role_18,89546,9,3,3.9,2.8,2,Yes,2,6,35,0,0,0,4,3,No
EMP00170,47,Female,High School,Engineering,Role_45,76606,15,1,4.4,4.6,3,No,3,1,53,1,0,0,4,4,No
EMP00171,43,Female,Master,HR,Role_35,83156,4,0,3.4,3.8,1,Yes,17,4,68,1,1,1,4,2,Yes
EMP00172,28,Male,High School,HR,Role_44,52608,4,0,4.0,2.0,3,No,4,6,36,1,0,2,3,2,No
EMP00173,44,Male,Master,Sales,Role_2,97845,0,0,4.3,1.3,4,Yes,12,4,27,0,0,0,3,3,Yes
EMP00174,43,Male,Master,HR,Role_40,77793,3,0,2.3,3.4,3,No,17,3,20,0,1,1,3,3,No
EMP00175,38,Male,Bachelor,HR,Role_45,58277,2,2,2.7,1.6,4,No,4,6,69,0,2,0,2,4,No
EMP00176,29,Female,High School,Finance,Role_31,57618,2,2,2.8,3.8,1,No,12,4,35,0,2,2,3,2,No
EMP00177,22,Female,Bachelor,Operations,Role_16,55694,0,0,3.3,3.9,4,No,16,4,40,0,0,0,4,4,Yes
EMP00178,45,Male,Master,Sales,Role_48,91663,12,1,3.5,2.8,3,Yes,3,2,36,4,3,0,4,4,Yes
EMP00179,26,Male,Master,Operations,Role_24,69907,4,0,3.9,3.7,3,No,9,8,59,1,0,0,3,4,No
EMP00180,45,Female,Master,Finance,Role_25,100787,7,0,3.1,2.2,1,No,38,4,33,1,0,1,3,3,No
EMP00181,51,Female,Bachelor,Legal,Role_9,104547,5,1,3.2,2.7,1,No,11,4,26,0,0,3,4,4,No
EMP00182,39,Male,PhD,Engineering,Role_49,133324,1,1,3.5,3.3,3,No,3,3,38,0,1,1,3,4,No
EMP00183,35,Female,PhD,Legal,Role_27,101633,4,0,4.4,4.2,4,No,20,5,25,0,0,0,1,2,Yes
EMP00184,22,Female,Bachelor,Operations,Role_1,57914,0,0,3.5,3.7,3,No,5,8,55,0,0,0,4,2,Yes
EMP00185,53,Female,PhD,Marketing,Role_41,96699,8,3,3.8,3.2,3,No,31,5,44,0,1,0,3,3,No
EMP00186,34,Female,Bachelor,Legal,Role_14,69797,6,3,3.4,4.5,3,No,7,8,40,2,1,0,3,4,No
EMP00187,45,Male,PhD,Legal,Role_10,123469,2,2,4.6,2.8,3,No,2,4,50,0,0,0,3,2,No
EMP00188,22,Male,Master,Legal,Role_9,81254,0,0,3.6,3.6,2,No,3,6,35,0,0,1,3,3,No
EMP00189,36,Male,Bachelor,HR,Role_36,61227,6,6,3.2,3.0,3,No,6,7,55,2,1,0,3,3,No
EMP00190,54,Female,Bachelor,Legal,Role_49,96714,5,5,3.2,2.8,3,No,1,3,35,1,1,0,2,1,No
EMP00191,45,Female,Master,HR,Role_30,90998,9,1,3.0,3.2,3,No,6,4,54,0,1,1,2,4,No
EMP00192,35,Female,Master,R&D,Role_24,99623,0,0,3.1,3.6,3,Yes,3,1,76,0,0,1,2,1,No
EMP00193,51,Female,High School,Marketing,Role_11,69348,3,0,3.3,5.0,2,No,10,8,65,1,2,0,3,4,No
EMP00194,45,Female,High School,Operations,Role_24,73892,12,1,3.7,1.1,3,Yes,7,2,40,1,0,0,3,3,No
EMP00195,45,Male,Bachelor,HR,Role_7,67790,1,1,3.7,4.7,2,No,2,1,40,0,1,0,3,3,No
EMP00196,22,Male,Bachelor,Finance,Role_34,78973,0,0,3.7,3.3,3,Yes,8,4,61,0,0,0,3,4,Yes
EMP00197,45,Female,High School,Marketing,Role_15,73685,3,3,4.6,3.5,1,No,20,1,55,1,0,0,2,4,No
EMP00198,45,Female,Bachelor,Legal,Role_31,79793,2,0,3.9,3.8,4,No,6,5,20,0,1,2,4,1,No
EMP00199,46,Male,Bachelor,Legal,Role_29,79698,18,1,3.7,2.9,3,No,2,6,13,0,0,3,3,4,No
EMP00200,37,Female,Master,Marketing,Role_5,90820,9,1,3.8,3.5,3,Yes,9,2,73,1,0,3,4,3,No
EMP00201,49,Female,High School,Marketing,Role_22,70100,3,3,2.9,2.8,3,No,6,8,41,1,0,2,4,2,No
EMP00202,32,Female,Bachelor,Engineering,Role_5,86300,9,0,3.9,2.3,2,Yes,16,2,27,1,0,1,2,3,No
EMP00203,39,Female,High School,Engineering,Role_29,73623,1,1,4.1,2.7,3,No,6,2,47,0,1,3,4,3,No
EMP00204,47,Female,Bachelor,Finance,Role_20,97070,1,1,3.4,2.5,4,Yes,9,1,8,0,0,3,4,3,No
EMP00205,46,Male,High School,Sales,Role_4,82380,5,5,3.3,5.0,4,No,1,6,64,1,0,1,3,3,No
EMP00206,50,Male,Bachelor,Engineering,Role_22,118382,0,0,3.0,3.4,4,No,13,3,0,0,0,2,3,4,No
EMP00207,30,Male,Bachelor,R&D,Role_38,83741,6,0,3.3,3.5,3,No,12,4,20,1,2,0,4,4,No
EMP00208,53,Male,Bachelor,HR,Role_37,91153,1,1,3.4,4.3,3,Yes,12,3,59,0,0,3,1,2,No
EMP00209,50,Male,Bachelor,HR,Role_44,67808,6,1,2.7,4.0,3,Yes,8,5,24,0,2,0,3,2,No
EMP00210,44,Female,PhD,Finance,Role_45,117430,1,0,3.0,4.3,3,No,4,8,55,0,1,2,2,3,No
EMP00211,33,Female,High School,Finance,Role_22,66799,1,1,4.0,3.2,3,Yes,7,4,13,0,1,2,2,4,No
EMP00212,45,Female,High School,Finance,Role_41,76949,1,0,2.9,2.0,3,No,2,1,42,0,1,1,3,3,No
EMP00213,35,Female,Master,Marketing,Role_33,82522,13,13,3.0,4.4,3,Yes,14,4,47,0,0,1,3,1,No
EMP00214,40,Female,Master,R&D,Role_10,94847,5,0,3.2,2.7,3,No,13,2,38,1,4,3,3,4,No
EMP00215,46,Female,Bachelor,Sales,Role_38,81263,0,0,3.8,2.8,3,No,23,2,42,0,0,0,2,4,No
EMP00216,43,Male,High School,Sales,Role_31,72406,4,4,3.6,5.0,3,No,13,5,56,0,0,1,2,1,No
EMP00217,45,Female,Bachelor,R&D,Role_6,102175,11,4,4.2,2.1,3,No,15,3,59,0,2,2,3,3,No
EMP00218,37,Female,High School,Marketing,Role_16,70461,0,0,3.3,2.0,3,Yes,3,3,45,0,0,1,3,4,No
EMP00219,46,Male,PhD,Finance,Role_4,140450,1,1,3.6,2.4,3,Yes,25,3,12,0,1,1,1,4,No
